,date,un_rate,12_mo_unemp_change,median_household_price,pct_house_change_year,housing_climb_change,cpi_change_all,cpi_change_less_food_and_energy,36_mo_cpi_change_all,average_sp_price,pct_monthly_sp_change,pct_bimonthly_sp_change,ten_yr_yield,one_yr_yield,yield_diff,yield_below_zero,years_since_recession,years_until_recession,recession_in_next_year,in_recession
502,2009-11-01,9.9,3.1000000000000005,219000.0,-1.5730337078651686,5.096429379383153,1.91459,1.71424,-0.05410999999999988,1088.07,1.9116572691680735,4.166387439567276,3.45,0.38,3.0700000000000003,0,0.4191780821917808,10.257534246575343,0.0,0
503,2009-12-01,9.9,2.6000000000000005,219000.0,-1.5730337078651686,5.096429379383153,2.81412,1.82367,0.29014000000000006,1110.38,2.0504195502127778,4.001273813760937,3.28,0.26,3.0199999999999996,0,0.5013698630136987,10.175342465753424,0.0,0
504,2010-01-01,9.8,2.000000000000001,222900.0,6.957773512476008,17.859868424831717,2.62111,1.51234,0.5453399999999999,1123.58,1.1887822186998882,3.2635767919343417,3.85,0.45,3.4,0,0.5863013698630137,10.09041095890411,0.0,0
505,2010-02-01,9.8,1.5,222900.0,6.957773512476008,17.859868424831717,2.15134,1.34945,-0.26892000000000005,1089.16,-3.0634222752273845,-1.911057475819091,3.68,0.33,3.35,0,0.6712328767123288,10.005479452054795,0.0,0
506,2010-03-01,9.9,1.200000000000001,222900.0,6.957773512476008,17.859868424831717,2.28617,1.15921,-0.5120300000000002,1152.05,5.774174593264522,2.5338649673365516,3.61,0.32,3.29,0,0.7479452054794521,9.92876712328767,0.0,0
507,2010-04-01,9.9,0.9000000000000004,219500.0,-0.6337709370755998,5.4860760667493045,2.20677,0.96751,-0.38614999999999977,1197.32,3.9295169480491285,9.930588710565926,3.89,0.42,3.47,0,0.8328767123287671,9.843835616438357,0.0,0
508,2010-05-01,9.6,0.1999999999999993,219500.0,-0.6337709370755998,5.4860760667493045,2.00355,0.94014,-0.70634,1125.06,-6.035145157518458,-2.342780261273383,3.72,0.43,3.29,0,0.915068493150685,9.761643835616438,0.0,0
509,2010-06-01,9.4,-0.09999999999999964,219500.0,-0.6337709370755998,5.4860760667493045,1.12156,0.9502,-1.57121,1083.36,-3.706468988320627,-9.517923362175528,3.29,0.35,2.94,0,1.0,9.676712328767124,0.0,0
510,2010-07-01,9.4,-0.09999999999999964,224100.0,4.573028464769015,9.959341930552679,1.34078,0.95775,-0.9771099999999997,1079.8,-0.3286072958204056,-4.0228965566280905,2.96,0.32,2.64,0,1.082191780821918,9.594520547945205,0.0,0
511,2010-08-01,9.5,-0.09999999999999964,224100.0,4.573028464769015,9.959341930552679,1.15018,0.9171,-0.7472700000000001,1087.28,0.6927208742359714,0.36183724708315546,2.99,0.28,2.71,0,1.167123287671233,9.509589041095891,0.0,0
512,2010-09-01,9.5,-0.3000000000000007,224100.0,4.573028464769015,9.959341930552679,1.11831,0.81439,-1.71552,1122.08,3.200647487307773,3.915539914799034,2.58,0.25,2.33,0,1.252054794520548,9.424657534246576,0.0,0
513,2010-10-01,9.4,-0.5999999999999996,224300.0,2.4200913242009134,3.9931250320660823,1.1667,0.60272,-2.444,1171.58,4.411450163981178,7.753292620116249,2.54,0.26,2.2800000000000002,0,1.3342465753424657,9.342465753424657,0.0,0
514,2010-11-01,9.8,-0.09999999999999964,224300.0,2.4200913242009134,3.9931250320660823,1.08454,0.67206,-3.2887299999999997,1198.89,2.331040133836373,6.8453229716241415,2.66,0.22,2.44,0,1.4191780821917808,9.257534246575343,0.0,0
515,2010-12-01,9.3,-0.5999999999999996,224300.0,2.4200913242009134,3.9931250320660823,1.43779,0.66189,-2.6710200000000004,1241.53,3.5566232098023898,5.970569658068595,2.97,0.28,2.6900000000000004,0,1.5013698630136987,9.175342465753424,0.0,0
516,2011-01-01,9.1,-0.7000000000000011,226900.0,1.794526693584567,-5.163246818891441,1.70078,0.98353,-2.59392,1282.62,3.309626025951843,6.983960163150897,3.36,0.29,3.07,0,1.5863013698630137,9.09041095890411,0.0,0
517,2011-02-01,9.0,-0.8000000000000007,226900.0,1.794526693584567,-5.163246818891441,2.1249,1.12445,-2.0180600000000006,1321.12,3.001668459871201,6.410638486383729,3.48,0.27,3.21,0,1.6712328767123288,9.005479452054795,0.0,0
518,2011-03-01,9.0,-0.9000000000000004,226900.0,1.794526693584567,-5.163246818891441,2.61924,1.20979,-1.3556599999999999,1304.49,-1.2587804287271318,1.705103616035936,3.41,0.25,3.16,0,1.747945205479452,8.92876712328767,0.0,0
519,2011-04-01,9.1,-0.8000000000000007,228100.0,3.917995444191344,4.551766381266944,3.07723,1.31554,-0.82653,1331.51,2.0713075608092035,0.7864539178878603,3.46,0.27,3.19,0,1.832876712328767,8.843835616438357,0.0,0
520,2011-05-01,9.0,-0.5999999999999996,228100.0,3.917995444191344,4.551766381266944,3.45897,1.4541,-0.6294399999999998,1338.31,0.510698380034694,2.5925840750024864,3.31,0.22,3.09,0,1.915068493150685,8.761643835616438,0.0,0
521,2011-06-01,9.1,-0.3000000000000007,228100.0,3.917995444191344,4.551766381266944,3.50232,1.58368,-1.43365,1287.29,-3.812270699613691,-3.3210415242844613,2.96,0.18,2.78,0,2.0,8.676712328767124,0.0,0
522,2011-07-01,9.0,-0.40000000000000036,223500.0,-0.2677376171352075,-4.840766081904222,3.57988,1.74148,-1.91763,1325.19,2.9441695344483443,-0.9803408776740734,3.22,0.2,3.02,0,2.0821917808219177,8.594520547945205,0.0,0
523,2011-08-01,9.0,-0.5,223500.0,-0.2677376171352075,-4.840766081904222,3.755,1.96516,-1.55302,1185.31,-10.55546751786537,-7.922068842296609,2.77,0.22,2.55,0,2.1671232876712327,8.509589041095891,0.0,0
524,2011-09-01,9.0,-0.5,223500.0,-0.2677376171352075,-4.840766081904222,3.81262,1.98772,-1.1406999999999998,1173.88,-0.964304696661619,-11.417985345497621,2.15,0.1,2.05,0,2.252054794520548,8.424657534246576,0.0,0
525,2011-10-01,8.8,-0.5999999999999996,221100.0,-1.4266607222469907,-3.846752046447904,3.52227,2.10792,-0.20879000000000003,1207.22,2.8401540191501615,1.8484615838894536,1.8,0.12,1.6800000000000002,0,2.334246575342466,8.342465753424657,0.0,0
526,2011-11-01,8.6,-1.200000000000001,221100.0,-1.4266607222469907,-3.846752046447904,3.45143,2.1382,2.35151,1226.42,1.5904309073739704,4.47575561386172,2.01,0.13,1.88,0,2.419178082191781,8.257534246575343,0.0,0
527,2011-12-01,8.5,-0.8000000000000007,221100.0,-1.4266607222469907,-3.846752046447904,3.06207,2.27666,3.0843,1243.32,1.3779944880220367,2.990341445635419,2.11,0.12,1.9899999999999998,0,2.5013698630136987,8.175342465753424,0.0,0
528,2012-01-01,8.3,-0.7999999999999989,238400.0,5.068312031732041,3.2737853381474737,3.00877,2.27735,3.12236,1300.58,4.605411318083839,6.0468681202198145,1.97,0.12,1.85,0,2.5863013698630137,8.09041095890411,0.0,0
529,2012-02-01,8.3,-0.6999999999999993,238400.0,5.068312031732041,3.2737853381474737,2.89818,2.15982,2.88972,1352.49,3.991296190930207,8.780523115529396,1.87,0.13,1.7400000000000002,0,2.671232876712329,8.005479452054795,0.0,0
530,2012-03-01,8.2,-0.8000000000000007,238400.0,5.068312031732041,3.2737853381474737,2.58288,2.24834,3.0293599999999996,1389.24,2.7172104784508573,6.816958587707029,2.03,0.18,1.8499999999999999,0,2.750684931506849,7.926027397260274,0.0,0
531,2012-04-01,8.2,-0.9000000000000004,238700.0,4.647084612012275,0.729089167820931,2.27316,2.31443,2.84948,1386.43,-0.20226886643056244,2.5094455411869996,2.22,0.18,2.04,0,2.835616438356164,7.841095890410959,0.0,0
532,2012-05-01,8.2,-0.8000000000000007,238700.0,4.647084612012275,0.729089167820931,1.73794,2.25226,2.7537000000000003,1341.27,-3.2572867003743484,-3.45296708991967,1.98,0.19,1.79,0,2.9178082191780823,7.758904109589041,0.0,0
533,2012-06-01,8.2,-0.9000000000000004,238700.0,4.647084612012275,0.729089167820931,1.65387,2.19229,2.8830400000000003,1323.48,-1.3263548726207224,-4.540438392129429,1.47,0.17,1.3,0,3.0027397260273974,7.673972602739726,0.0,0
534,2012-07-01,8.2,-0.8000000000000007,248800.0,11.319910514541387,11.587648131676595,1.41751,2.10996,3.37627,1359.78,2.7427690633783626,1.3800353396407874,1.61,0.21,1.4000000000000001,0,3.084931506849315,7.5917808219178085,0.0,0
535,2012-08-01,8.1,-0.9000000000000004,248800.0,11.319910514541387,11.587648131676595,1.68593,1.93525,3.1697699999999998,1403.45,3.211548927032319,6.042403360836585,1.56,0.17,1.3900000000000001,0,3.16986301369863,7.506849315068493,0.0,0
536,2012-09-01,7.8,-1.2000000000000002,248800.0,11.319910514541387,11.587648131676595,1.94972,2.00824,3.32766,1443.42,2.84798175923617,6.150995013899315,1.59,0.16,1.4300000000000002,0,3.254794520547945,7.421917808219178,0.0,0
537,2012-10-01,7.8,-1.0000000000000009,251700.0,13.83989145183175,15.266552174078742,2.15568,1.99465,2.37965,1437.82,-0.38796746615677596,2.4489650504114784,1.64,0.17,1.47,0,3.336986301369863,7.33972602739726,0.0,0
538,2012-11-01,7.7,-0.8999999999999995,251700.0,13.83989145183175,15.266552174078742,1.79602,1.95285,-0.11857000000000006,1394.51,-3.012199023521717,-3.3884801374513365,1.75,0.18,1.57,0,3.421917808219178,7.254794520547946,0.0,0
539,2012-12-01,7.9,-0.5999999999999996,251700.0,13.83989145183175,15.266552174078742,1.7595,1.89969,-1.05462,1422.29,1.9920975826634424,-1.0801073847908622,1.63,0.18,1.45,0,3.504109589041096,7.1726027397260275,0.0,0
540,2013-01-01,8.0,-0.3000000000000007,258400.0,8.389261744966444,3.320949713234403,1.68406,1.9098,-0.9370499999999999,1480.4,4.085664667543196,6.159152677284501,1.86,0.15,1.7100000000000002,0,3.589041095890411,7.087671232876712,0.0,0
541,2013-02-01,7.7,-0.6000000000000005,258400.0,8.389261744966444,3.320949713234403,2.01814,1.98874,-0.13319999999999999,1512.31,2.155498513915148,6.329229622650795,2.04,0.15,1.8900000000000001,0,3.673972602739726,7.002739726027397,0.0,0
542,2013-03-01,7.5,-0.6999999999999993,258400.0,8.389261744966444,3.320949713234403,1.51875,1.88902,-0.7674199999999998,1550.83,2.5470968253863284,4.757497973520659,1.86,0.16,1.7000000000000002,0,3.750684931506849,6.926027397260274,0.0,0
543,2013-04-01,7.6,-0.5999999999999996,268100.0,12.316715542521994,7.669630930509719,1.13881,1.71556,-1.06796,1570.7,1.281249395485006,3.8609808835490145,1.86,0.14,1.7200000000000002,0,3.835616438356164,6.841095890410959,0.0,0
544,2013-05-01,7.5,-0.6999999999999993,268100.0,12.316715542521994,7.669630930509719,1.39039,1.64555,-0.6131600000000001,1639.84,4.401859043738452,5.7395072316114595,1.66,0.11,1.5499999999999998,0,3.9178082191780823,6.758904109589041,0.0,0
545,2013-06-01,7.5,-0.6999999999999993,268100.0,12.316715542521994,7.669630930509719,1.71579,1.6231,0.59423,1618.77,-1.284881451848957,3.060418921499964,2.13,0.14,1.9899999999999998,0,4.002739726027397,6.673972602739726,0.0,0
546,2013-07-01,7.3,-0.8999999999999995,264800.0,6.430868167202572,-4.889042347338815,1.88547,1.70022,0.5446899999999999,1668.68,3.0832051495888906,1.7587081666504139,2.5,0.15,2.35,0,4.0849315068493155,6.5917808219178085,0.0,0
547,2013-08-01,7.2,-0.8999999999999995,264800.0,6.430868167202572,-4.889042347338815,1.53881,1.78211,0.38863000000000003,1670.09,0.0844979265047735,3.170308320514955,2.74,0.13,2.6100000000000003,0,4.16986301369863,6.506849315068493,0.0,0
548,2013-09-01,7.2,-0.5999999999999996,264800.0,6.430868167202572,-4.889042347338815,1.09473,1.75194,-0.023579999999999934,1687.17,1.0226993754827678,1.1080614617542015,2.86,0.14,2.7199999999999998,0,4.254794520547946,6.421917808219178,0.0,0
549,2013-10-01,7.2,-0.5999999999999996,273600.0,8.700834326579262,-5.139057125252489,0.8768,1.68684,-0.28990000000000005,1720.03,1.947640131107114,2.9902580100473664,2.66,0.1,2.56,0,4.336986301369863,6.33972602739726,0.0,0
550,2013-11-01,6.9,-0.7999999999999998,273600.0,8.700834326579262,-5.139057125252489,1.23287,1.74167,0.14832999999999985,1783.54,3.6923774585326994,5.711931814814149,2.65,0.1,2.55,0,4.421917808219178,6.254794520547946,0.0,0
551,2013-12-01,6.7,-1.2000000000000002,273600.0,8.700834326579262,-5.139057125252489,1.51284,1.74086,0.07505000000000006,1807.78,1.3590948338697202,5.101655203688308,2.81,0.13,2.68,0,4.504109589041096,6.1726027397260275,0.0,0
552,2014-01-01,6.6,-1.4000000000000004,275200.0,6.5015479876160995,-1.887713757350344,1.55776,1.60703,-0.14301999999999992,1822.36,0.8065140669771724,2.176570191865612,3.0,0.13,2.87,0,4.589041095890411,6.087671232876712,0.0,0
553,2014-02-01,6.7,-1.0,275200.0,6.5015479876160995,-1.887713757350344,1.12047,1.55481,-1.0044299999999997,1817.04,-0.2919291468206028,0.512230470521855,2.61,0.11,2.5,0,4.673972602739726,6.002739726027397,0.0,0
